Node ID,round,period,step,Simulation time (seconds),Chronological time (seconds)
380,3,0,1,10.200000286101,18.5876605
380,3,0,2,10.200000286101,18.5976591
347,3,0,1,10.200000286101,18.5976591
347,3,0,2,10.200000286101,18.606659
300,3,0,1,10.200000286101,18.606659
300,3,0,2,10.200000286101,18.6146594
296,3,0,1,10.200000286101,18.6156588
296,3,0,2,10.200000286101,18.6206898
289,3,0,1,10.200000286101,18.6206898
289,3,0,2,10.200000286101,18.6266597
266,3,0,1,10.200000286101,18.6266597
266,3,0,2,10.200000286101,18.6316955
243,3,0,1,10.200000286101,18.6316955
243,3,0,2,10.200000286101,18.6446618
240,3,0,1,10.200000286101,18.6446618
240,4,0,2,10.200000286101,22.4776481
36,4,0,0,10.200000286101,22.4776481
36,4,0,1,10.200000286101,22.4776481
21,4,0,0,10.200000286101,22.4776481
21,4,0,1,10.200000286101,22.4776481
297,4,0,0,10.200000286101,22.4786103
297,4,0,1,10.200000286101,22.4786103
152,4,0,0,10.200000286101,22.4786103
152,4,0,1,10.200000286101,22.4786103
244,4,0,0,10.200000286101,22.4786103
244,4,0,1,10.200000286101,22.4786103
126,4,0,0,10.200000286101,22.4786103
126,4,0,1,10.200000286101,22.4786103
113,4,0,0,10.200000286101,22.4786103
113,4,0,1,10.200000286101,22.4796113
321,4,0,0,10.200000286101,22.4796113
321,4,0,1,10.200000286101,22.4796113
384,4,0,0,10.200000286101,22.4796113
384,4,0,1,10.200000286101,22.4796113
387,4,0,0,10.200000286101,22.4796113
387,4,0,1,10.200000286101,22.4796113
281,4,0,0,10.200000286101,22.4796113
281,4,0,1,10.200000286101,22.4796113
277,4,0,0,10.200000286101,22.4806578
277,4,0,1,10.200000286101,22.4806578
198,4,0,0,10.200000286101,22.4806578
198,4,0,1,10.200000286101,22.4806578
1,4,0,0,10.200000286101,22.4806578
1,4,0,1,10.200000286101,22.4806578
294,4,0,0,10.200000286101,22.4806578
294,4,0,1,10.200000286101,22.4826119
16,4,0,0,10.200000286101,22.4826119
16,4,0,1,10.200000286101,22.4826119
357,4,0,0,10.200000286101,22.4826119
357,4,0,1,10.200000286101,22.4826119
307,4,0,0,10.200000286101,22.4826119
307,4,0,1,10.200000286101,22.4826119
201,4,0,0,10.200000286101,22.4826119
201,4,0,1,10.200000286101,22.4826119
340,4,0,0,10.200000286101,22.4836454
340,4,0,1,10.200000286101,22.4836454
190,4,0,0,10.200000286101,22.4836454
190,4,0,1,10.200000286101,22.4836454
95,4,0,0,10.200000286101,22.4836454
95,4,0,1,10.200000286101,22.4836454
388,4,0,0,10.200000286101,22.4836454
388,4,0,1,10.200000286101,22.4836454
9,4,0,0,10.200000286101,22.4836454
9,4,0,1,10.200000286101,22.4836454
331,4,0,0,10.200000286101,22.4846098
331,4,0,1,10.200000286101,22.4846098
145,4,0,0,10.200000286101,22.4846098
145,4,0,1,10.200000286101,22.4846098
81,4,0,0,10.200000286101,22.4846098
81,4,0,1,10.200000286101,22.4846098
386,4,0,0,10.200000286101,22.4846098
386,4,0,1,10.200000286101,22.4846098
377,4,0,0,10.200000286101,22.4846098
377,4,0,1,10.200000286101,22.4846098
172,4,0,0,10.200000286101,22.4856086
172,4,0,1,10.200000286101,22.4856086
28,4,0,0,10.200000286101,22.4856086
28,4,0,1,10.200000286101,22.4856086
295,4,0,0,10.200000286101,22.4856086
295,4,0,1,10.200000286101,22.4856086
32,4,0,0,10.200000286101,22.4856086
32,4,0,1,10.200000286101,22.4856086
194,4,0,0,10.200000286101,22.486611
194,4,0,1,10.200000286101,22.486611
328,4,0,0,10.200000286101,22.486611
328,4,0,1,10.200000286101,22.486611
323,4,0,0,10.200000286101,22.486611
323,4,0,1,10.200000286101,22.486611
305,4,0,0,10.200000286101,22.4876425
305,4,0,1,10.200000286101,22.4876425
229,4,0,0,10.200000286101,22.4876425
229,4,0,1,10.200000286101,22.4876425
220,4,0,0,10.200000286101,22.4876425
220,4,0,1,10.200000286101,22.4876425
293,4,0,0,10.200000286101,22.4876425
293,4,0,1,10.200000286101,22.4876425
274,4,0,0,10.200000286101,22.4876425
274,4,0,1,10.200000286101,22.4876425
246,4,0,0,10.200000286101,22.4886106
246,4,0,1,10.200000286101,22.4886106
140,4,0,0,10.200000286101,22.4886106
140,4,0,1,10.200000286101,22.4886106
117,4,0,0,10.200000286101,22.4886106
117,4,0,1,10.200000286101,22.4886106
55,4,0,0,10.200000286101,22.4886106
55,4,0,1,10.200000286101,22.4886106
193,4,0,0,10.200000286101,22.4896113
193,4,0,1,10.200000286101,22.4896113
179,4,0,0,10.200000286101,22.4896113
179,4,0,1,10.200000286101,22.4896113
100,4,0,0,10.200000286101,22.4906118
100,4,0,1,10.200000286101,22.4906118
338,4,0,0,10.200000286101,22.4906118
338,4,0,1,10.200000286101,22.4906118
170,4,0,0,10.200000286101,22.4906118
170,4,0,1,10.200000286101,22.4906118
40,4,0,0,10.200000286101,22.4916094
40,4,0,1,10.200000286101,22.4916094
288,4,0,0,10.200000286101,22.4916094
288,4,0,1,10.200000286101,22.4916094
256,4,0,0,10.200000286101,22.4916094
256,4,0,1,10.200000286101,22.4916094
253,4,0,0,10.200000286101,22.4926127
253,4,0,1,10.200000286101,22.4926127
119,4,0,0,10.200000286101,22.4926127
119,4,0,1,10.200000286101,22.4926127
50,4,0,0,10.200000286101,22.4926127
50,4,0,1,10.200000286101,22.4926127
393,4,0,0,10.200000286101,22.4926127
393,4,0,1,10.200000286101,22.4926127
366,4,0,0,10.200000286101,22.4936111
366,4,0,1,10.200000286101,22.4936111
258,4,0,0,10.200000286101,22.4936111
258,4,0,1,10.200000286101,22.4936111
146,4,0,0,10.200000286101,22.4936111
146,4,0,1,10.200000286101,22.4936111
123,4,0,0,10.200000286101,22.4936111
123,4,0,1,10.200000286101,22.4936111
107,4,0,0,10.200000286101,22.4936111
107,4,0,1,10.200000286101,22.4936111
92,4,0,0,10.200000286101,22.4946113
92,4,0,1,10.200000286101,22.4946113
86,4,0,0,10.200000286101,22.4946113
86,4,0,1,10.200000286101,22.4946113
41,4,0,0,10.200000286101,22.4946113
41,4,0,1,10.200000286101,22.4946113
14,4,0,0,10.200000286101,22.4956163
14,4,0,1,10.200000286101,22.4956163
208,4,0,0,10.200000286101,22.4956163
208,4,0,1,10.200000286101,22.4956163
134,4,0,0,10.200000286101,22.4966152
134,4,0,1,10.200000286101,22.4966152
129,4,0,0,10.200000286101,22.4976116
129,4,0,1,10.200000286101,22.4976116
354,4,0,0,10.200000286101,22.4976116
354,4,0,1,10.200000286101,22.4976116
330,4,0,0,10.200000286101,22.4986144
330,4,0,1,10.200000286101,22.4986144
327,4,0,0,10.200000286101,22.4986144
327,4,0,1,10.200000286101,22.4996106
286,4,0,0,10.200000286101,22.4996106
286,4,0,1,10.200000286101,22.4996106
267,4,0,0,10.200000286101,22.5006109
267,4,0,1,10.200000286101,22.5006109
252,4,0,0,10.200000286101,22.5006109
252,4,0,1,10.200000286101,22.5006109
116,4,0,0,10.200000286101,22.5016103
116,4,0,1,10.200000286101,22.5016103
333,4,0,0,10.200000286101,22.5016103
333,4,0,1,10.200000286101,22.5016103
250,4,0,0,10.200000286101,22.5026137
250,4,0,1,10.200000286101,22.5026137
223,4,0,0,10.200000286101,22.5026137
223,4,0,1,10.200000286101,22.5026137
169,4,0,0,10.200000286101,22.5036124
169,4,0,1,10.200000286101,22.5036124
18,4,0,0,10.200000286101,22.5036124
18,4,0,1,10.200000286101,22.5036124
301,4,0,0,10.200000286101,22.5036124
301,4,0,1,10.200000286101,22.5036124
262,4,0,0,10.200000286101,22.5046123
262,4,0,1,10.200000286101,22.5046123
171,4,0,0,10.200000286101,22.5056171
171,4,0,1,10.200000286101,22.5056171
98,4,0,0,10.200000286101,22.5070258
98,4,0,1,10.200000286101,22.5070258
13,4,0,0,10.200000286101,22.5076113
13,4,0,1,10.200000286101,22.5076113
397,4,0,0,10.200000286101,22.5076113
397,4,0,1,10.200000286101,22.5076113
322,4,0,0,10.200000286101,22.5076113
322,4,0,1,10.200000286101,22.5076113
216,4,0,0,10.200000286101,22.5076113
216,4,0,1,10.200000286101,22.5076113
118,4,0,0,10.200000286101,22.5086418
118,4,0,1,10.200000286101,22.5086418
108,4,0,0,10.200000286101,22.5086418
108,4,0,1,10.200000286101,22.5086418
89,4,0,0,10.200000286101,22.5086418
89,4,0,1,10.200000286101,22.5086418
62,4,0,0,10.200000286101,22.5096116
62,4,0,1,10.200000286101,22.5096116
372,4,0,0,10.200000286101,22.5096116
372,4,0,1,10.200000286101,22.5096116
245,4,0,0,10.200000286101,22.5096116
245,4,0,1,10.200000286101,22.5096116
183,4,0,0,10.200000286101,22.5096116
183,4,0,1,10.200000286101,22.5096116
138,4,0,0,10.200000286101,22.5106124
138,4,0,1,10.200000286101,22.5106124
125,4,0,0,10.200000286101,22.5106124
125,4,0,1,10.200000286101,22.5106124
371,4,0,0,10.200000286101,22.5106124
371,4,0,1,10.200000286101,22.5106124
369,4,0,0,10.200000286101,22.5106124
369,4,0,1,10.200000286101,22.5106124
247,4,0,0,10.200000286101,22.5116488
247,4,0,1,10.200000286101,22.5116488
232,4,0,0,10.200000286101,22.5116488
232,4,0,1,10.200000286101,22.5116488
219,4,0,0,10.200000286101,22.5116488
219,4,0,1,10.200000286101,22.5126106
53,4,0,0,10.200000286101,22.5126106
53,4,0,1,10.200000286101,22.5156132
52,4,0,0,10.200000286101,22.5156132
52,4,0,1,10.200000286101,22.5156132
311,4,0,0,10.200000286101,22.5156132
311,4,0,1,10.200000286101,22.5176127
